,id,instituicao,Programa,mun,titulo,autor,Defesa,biblioteca,grauAcademico,link
566,20121942024013003P0,UNIV. REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,DESENVOLVIMENTO,IJUÍ,AS VIOLAÇÕES AOS DIREITOS E GARANTIAS FUNDAMENTAIS DURANTE A DITADURA MILITAR,LUCAS GOULART DA SILVA,2012-04-01,BIBLIOTECA UNIVERSITÁRIA MÁRIO OSÓRIO MARQUES,Mestrado,
567,2427660,UNIVERSIDADE FEDERAL DO ABC,Ciências Humanas e Sociais,Santo André,Redemocratização e Racismo: Novas formas de genocídio no Brasil pós-ditadura militar Santo André 2015,JORGE LUIZ TOLEDO AMERICO,2015-04-27,Ufabc,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2427660
568,101329,UNIVERSIDADE DE SÃO PAULO,CIÊNCIAS DA COMUNICAÇÃO,São Paulo,"Boca do lixo: erotismo, pornografia e poder no cinema paulista durante a ditadura militar (1964-1985)",CAIO TULIO PADULA LAMAS,2013-09-30,ECA-USP,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=101329
569,5398889,UNIVERSIDADE FEDERAL DE SANTA CATARINA,HISTÓRIA,Florianópolis,Memória e História nas publicações de Guido Alcalá: testemunho da ditadura militar paraguaia,LORENA ZOMER,2017-03-30,BU/UFSC,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5398889
570,5475426,UNIVERSIDADE FEDERAL DE SANTA MARIA,COMUNICAÇÃO,Santa Maria,A CONFIGURAÇÃO DA MEMÓRIA NACIONAL NA MÍDIA TELEVISUAL CONTEMPORÂNEA,ELISA VIEIRA FONSECA,2017-03-20,Biblioteca Central Manoel Marques de Souza Conde de Porto Alegre - UFSM,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5475426
571,5015039,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,HISTÓRIA,Porto Alegre,CONFRONTANDO VISUALIDADES NO FOTOJORNALISMO DE VEJA E ISTOÉ: PRÁTICAS FOTOGRÁFICAS E FOTORREPORTAGENS NA SEGUNDA METADE DOS ANOS 1970,CAIO DE CARVALHO PROENCA,2017-03-27,"Biblioteca Central Irmão José Otão, PUCRS.",Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5015039
572,5412324,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,CIÊNCIAS HUMANAS,Diamantina,O ESTADO MILITAR E AS POPULAÇÕES INDÍGENAS: Reformatório Krenak e Fazenda Guarani,ROCHELLE FOLTRAM,2017-04-26,http://acervo.ufvjm.edu.br/jspui/handle/1/1455,Mestrado Profissional,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5412324
573,5099780,UNIVERSIDADE DE SÃO PAULO,"Humanidades, Direitos e outras Legitimidades",São Paulo,"A irmandade fraturada: A relação entre os intelectuais de esquerda e as camadas populares no filme Quase dois irmãos (Lucia Murat, 2005)",GRAZIELI CHIROSSE BATISTA,2017-10-18,Biblioteca Florestan Fernandes; CAPH,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5099780
574,20093131003010016P8,UNIVERSIDADE FEDERAL FLUMINENSE,LETRAS,NITERÓI,"Produção, circulação e funcionamento da censura na ditadura militar brasileira e no fascismo italiano: A censura na ordem do discurso",CARLA BARBOSA MOREIRA,2009-05-01,BIBLIOTECA CENTRAL DO GRAGOATÁ,Doutorado,
575,6463319,UNIVERSIDADE FEDERAL DE SÃO CARLOS,SOCIOLOGIA,São Carlos,A TRADUÇÃO DA MANDINGA: as reinterpretações da capoeira em São Paulo durante a ditadura militar,ETTORE SCHIMID BATALHA,2018-04-05,Biblioteca Comunitária da UFSCar,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6463319
576,1186722,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,Comunicação,São Cristóvão,INTERSTÍCIOS DA PORNOCHANCHADA BRASILEIRA: Relações Ambíguas entre Vendabilidade e Contestação Política nos Filmes Produzidos pela Boca do Lixo na Primeira Metade da Década de 1980.,WESLEY PEREIRA DE CASTRO,2014-04-24,undefined,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1186722
577,5810784,FUNDACAO OSWALDO CRUZ (FIOCRUZ),HISTÓRIA DAS CIÊNCIAS,Rio de Janeiro,"A EMBRAPA NA AMAZÔNIA ORIENTAL: DITADURA MILITAR, DESENVOLVIMENTO E AMBIENTALISMO (1972-1993)",VANESSA PEREIRA DA SILVA E MELLO,2017-11-29,Biblioteca de História das Ciências e da Saúde,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5810784
578,5039374,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,HISTÓRIA,Seropédica,Futebol e Ditadura Militar: A elaboração de projetos políticos para o futebol brasileiro: 1966-1971,JORGE FERNANDO ALBUQUERQUE D AMARAL MOREIRA,2017-03-31,biblioteca centraç,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5039374
579,20122432006012012P0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,HISTÓRIA,UBERLÂNDIA,TEMAS E ACONTECIMENTOS DA HISTÓRIA DO BRASIL CONTEMPORÂNEO PELA DRAMATURGIA DE GIANFRANCESCO GUARNIERI UNIVERSIDADE FEDERAL DE UBERLÂNDIA UBERLÂNDIA  MG 2012,Nádia Cristina Ribeiro,2012-02-01,UNIVERSIDADE FEDERAL DE UBERLANDIA- CAMPUS SANTA MONICA,Doutorado,
580,6394182,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( MARÍLIA ),CIÊNCIAS SOCIAIS,Marília,"CRISE DO CAPITAL E REORDENAMENTO POLÍTICO-ECONÔMICO: O FIM DE BRETTON WOODS E O ESGOTAMENTO DO ""MILAGRE"" BRASILEIRO",FRANCIELI MARTINS BATISTA,2018-08-31,"UNESP, Campus de Marília",Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6394182
581,6424761,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,GEOGRAFIA,Porto Alegre,"AS TRAVESTILIDADES NA DITADURA A interdição e a resistência de travestis em Porto Alegre, na década de 1970",FABIANO BARNART,2018-08-23,geo,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6424761
582,7450883,UNIVERSIDADE FEDERAL DE PERNAMBUCO,HISTÓRIA,Recife,"O SOCIALISMO POSSÍVEL: O PCB, os estertores da Ditadura Militar e a Nova República em Alagoas (1980-1991) ",RODRIGO JOSE DA COSTA,2018-02-23,Biblioteca Central da UFPE,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7450883
583,6627653,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,CIÊNCIAS SOCIAIS,Natal,"O CARIRI CEARENSE: RESISTÊNCIA, ROTA DE FUGA E REFÚGIO NA DITADURA MILITAR",CICERO AURELISNOR MATIAS SIMIAO,2018-08-31,BDTD-UFRN,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6627653
584,7057079,UNIVERSIDADE ESTADUAL DO CEARÁ,PLANEJAMENTO E POLITICAS PÚBLICAS,Fortaleza,A influência política de Leonel Brizola pós-anistia e os aspectos de sua liderança no âmbito do pluripartidarismo moderado,BRUNO MARQUES ALBUQUERQUE,2018-08-29,Biblioteca Central,Mestrado Profissional,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7057079
585,6710854,UNIVERSIDADE REGIONAL DO CARIRI,Ensino de História,Rio de Janeiro,ENSINO DE HISTÓRIA E PASSADOS SENSÍVEIS: HISTÓRIA E MEMÓRIA DA DITADURA MILITAR NOS LIVROS DIDÁTICOS DO BRASIL E DA ARGENTINA,ELLEN NATUCHA PEDROZA BEZERRA,2018-12-11,Biblioteca da URCA,Mestrado Profissional,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6710854
586,1127501,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,EDUCAÇÃO FÍSICA,Rio de Janeiro,LUTAS DE REPRESENTAÇÕES SOBRE O   DESENVOLVIMENTO DE UMA PRÁTICA: A  EDUCAÇÃO FÍSICA ESCOLAR BRASILEIRA EM   REVISTA (1976-1979).,BRUNO DUARTE REI,2013-02-21,undefined,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1127501
587,3984760,FUNDAÇÃO GETÚLIO VARGAS ( RJ ),"HISTÓRIA, POLÍTICA E BENS CULTURAIS",Rio de Janeiro,A construção da busca por Rubens Paiva: um estudo de caso nas investigações sobre o desaparecimento do parlamentar,JULIANA SCHWARTZ DAL PIVA,2016-09-01,Mario Henrique Simonsen Leal,Mestrado Profissional,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3984760
588,4910125,UNIVERSIDADE FEDERAL FLUMINENSE,HISTÓRIA,Niterói,MOBILIZAÇÕES CONTRA A FOME NO BRASIL:1978-1988,DANIEL HORTA ALVIM,2016-10-10,Biblioteca Central do Gragoatá,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4910125
589,4190187,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,HISTÓRIA,São Paulo,"Os evangélicos e a política no Brasil: posições, alinhamentos e tensões (1960-1976)",ADRIANO HENRIQUES MACHADO,2016-10-07,PUC-SP,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4190187
590,3633603,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,HISTÓRIA,Vitória,Entre a ilegalidade e a luta institucional: a atuação do PCB no Espírito Santo no contexto da abertura política (1978-1985),LEONARDO BAPTISTA,2016-07-13,Biblioteca Central UFES,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3633603
591,3804337,UNIVERSIDADE FEDERAL DE GOIÁS,HISTÓRIA,Goiânia,“PARA ALÉM DO BUSTIÊ” – PERFORMANCES DA CONTRAVIOLÊNCIA NA OBRA BANDIDO (1976-1977) DE NEY MATOGROSSO,ROBSON PEREIRA DA SILVA,2016-07-29,BIBLIOTECA CENTRAL UFG,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3804337
592,3844988,UNIVERSIDADE ESTADUAL DE LONDRINA,HISTÓRIA SOCIAL,Londrina,Cada pessoa decide o tipo de cidadão que vai ser... O conceito de cidadania em narrativas de alunos vestibulandos (Londrina-2015),BRUNO PAVIANI,2016-09-19,BC-UEL,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3844988
593,4868446,UNIVERSIDADE DA AMAZÔNIA,Direitos Fundamentais,Belém,JUSTIÇA TRANSICIONAL: ASPECTOS SOBRE A (RE) CONSTRUÇÃO DEMOCRÁTICA DO ESTADO BRASILEIRO,ANISIO ROBINSON PINHEIRO SANTOS,2016-04-04,Biblioteca Central - Repositorium,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4868446
594,3117471,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,"EDUCAÇÃO: HISTÓRIA, POLÍTICA, SOCIEDADE",São Paulo,Currículo xeretado! Educação de Jovens e Adultos do Colégio Santa Cruz expressos no boletim Xerete!: 1983 - 2002,SYLVIA XAVIER,2015-12-18,PUC/SP,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3117471
595,2569076,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,COMUNICAÇÃO SOCIAL,Porto Alegre,Clarice Lispector e ditadura militar: representação e subjetividade num contexto de censura,ISABELLA SMITH SANDER,2015-01-14,BIBLIOTECA IRMÃO JOSÉ OTÃO,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2569076
596,3353665,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,Ensino de Línguas,Bagé,LEITURA DE NOTÍCIAS DO PERÍODO DA DITADURA MILITAR: UMA ABORDAGEM DISCURSIVA NA EJA.,PEDRO LUIS FAGUNDES DO AMARAL,2015-12-04,BIBLIOTECA DA UNIVERSIDADE FEDERAL DO PAMPA,Mestrado Profissional,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3353665
597,5016534,UNIVERSIDADE FEDERAL DE MINAS GERAIS,HISTÓRIA,Belo Horizonte,MEMÓRIAS SOBRE A UFMG: MODERNIZAÇÃO E REPRESSÃO DURANTE A DITADURA MILITAR,IARA SOUTO RIBEIRO SILVA,2017-04-18,"Antônio Luiz Paixão ,FAFICH UFMG",Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5016534
598,4976531,UNIVERSIDADE FEDERAL DE PERNAMBUCO,HISTÓRIA,Recife,A COMUNICAÇÃO CLANDESTINA NO MOVIMENTO ESTUDANTIL EM RECIFE DURANTE A DITADURA MILITAR,FABIOLA ALVES DE LUCENA,2016-08-18,Biblioteca Central da UFPE,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4976531
599,20091942001013043P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,HISTÓRIA,PORTO ALEGRE,"América Latina entre inclusões e exclusões: escolas, ensino de história e identidade em tempos de ditadura militar",MARISE DA SILVEIRA VERÍSSIMO,2009-12-01,BSCSH,Doutorado,
600,20081840004015004P8,UNIVERSIDADE ESTADUAL DE MARINGÁ,EDUCAÇÃO,MARINGÁ,O CINEMA COMO FONTE DE PESQUISA NA SALA DE AULA: ANÁLISE FÍLMICA SOBRE A RESISTÊNCIA ARMADA À DITADURA MILITAR BRASILEIRA,Celso Luiz Junior,2008-02-01,BCE - BIBLIOTECA CENTRAL DA UEM,Mestrado,
601,150662,UNIVERSIDADE DE SANTA CRUZ DO SUL,DIREITO,Santa Cruz do Sul,TEORIA E IDEOLOGIA DA SEGURANÇA NACIONAL E O ACESSO À INFORMAÇÃO NA CONTEMPORANEIDADE: DO REGIME AUTORITÁRIO BRASILEIRO AO ESTADO DEMOCRÁTICO DE DIREITO,LUIZ FELIPE NUNES,2014-02-28,UNISC,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=150662
602,1860568,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,MEMÓRIA SOCIAL,Rio de Janeiro,CARTAZES DO MOVIMENTO ESTUDANTIL – A CONTRIBUIÇÃO DA CONSERVAÇÃO PARA A CONSTRUÇÃO DA MEMÓRIA DA ATUAÇÃO SECUNDARISTA DA DITADURA MILITAR,IVY SOUZA DA SILVA,2014-12-01,UNIRIO,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1860568
603,6602475,UNIVERSIDADE DE SÃO PAULO,CULTURAS E IDENTIDADES BRASILEIRAS,São Paulo,Cinema sob mulheres. Experiência feminina no cinema brasileiro durante a ditadura militar,LUISA REAMI VIEIRA GIRARDI,2018-09-27,Instituto de estudos Brasileiros,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6602475
604,2269848,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,Ciências Sociais,Seropédica,"Narrativas de Dor e Silêncio : Tortura, Clandestinidade e Exílio na Vida de Homens e Mulheres durante a Ditadura Brasileira",LIVIA DE BARROS SALGADO,2015-03-20,BIBLIOTECA CENTRAL DA UFRRJ,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2269848
605,962420,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,HISTÓRIA,Dourados,MEMÓRIA E IMAGINÁRIO PARAGUIAIOS EM TEMPOS DE DITADURA MILITAR (1954 - 1989): ENTRE O LOPIZMO E O STRONISMO,MARCO ANTONIO ALMEIDA OLIVEIRA,2013-10-10,Biblioteca da UFGD,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=962420
606,7093095,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,"EDUCAÇÃO: HISTÓRIA, POLÍTICA, SOCIEDADE",São Paulo,"“Sou da negritude, o fruto e a raiz”: os sambas afro brasileiros da Nenê de Vila Matilde como recurso didático à Lei 10.639/03",EMERSON PORTO FERREIRA,2018-08-10,PUC/SP,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7093095
607,997137,UNIVERSIDADE DE SÃO PAULO,LITERATURA BRASILEIRA,São Paulo,"O gigolô das palavras: leitura das Memórias de um gigolô, de Marcos Rey",RAFAEL NASCIMENTO DA CUNHA CARVALHO,2013-08-13,Florestan Fernandes,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=997137
608,1709811,UNIVERSIDADE ESTADUAL DE CAMPINAS,EDUCAÇÃO,Campinas,ENSINO SUPERIOR E O CENTRO ESTADUAL DE EDUCAÇÃO TECNOLÓGICA PAULA SOUZA (1960-1975),CLAUDIA BEVILACQUA DENARDI MACHADO,2014-12-10,Biblioteca Central - UNICAMP,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1709811
609,1332691,UNIVERSIDADE DE SÃO PAULO,LETRAS (LÍNGUA ESPANHOLA E LIT. ESPANHOLA E HISPANO-AMERIC.),São Paulo,"Un mundo más allá del mío"": violência e inocência em La casa de los conejos, de Laura Alcoba",DEBORA DUARTE DOS SANTOS,2014-02-10,Biblioteca Florestan Fernandes,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1332691
610,1891050,UNIVERSIDADE FEDERAL DA BAHIA,LÍNGUA E CULTURA,Salvador,NAS ENCRUZILHADAS DO ECUMENISMO: UMA LEITURA FILOLÓGICA DOS ESCRITOS DE DOM TIMÓTEO,GERSICA ALVES SANCHES,2014-03-27,Biblioteca Central Reitor Edgard Santos,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1891050
611,4005650,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,HISTÓRIA,Teresina,CORP-ORALIDADES:  Experiência corporal e Memória de Trabalhadores dos rios e dos mangues no povoado dos Morros da Mariana/PI (1970-1980) ,DANIEL SOUZA BRAGA,2016-03-29,Biblioteca Setorial - CCHL,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4005650
612,6392582,UNIVERSIDADE FEDERAL DE PERNAMBUCO,COMUNICAÇÃO,Recife,"CAMINHOS CRUZADOS: Versus (1975-1979) e a América Latina – aproximação, presença e (re)leitura",XENYA DE AGUIAR BUCCHIONI,2018-02-26,Biblioteca Central da UFPE,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6392582
613,6335367,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ADMINISTRAÇÃO DE EMPRESAS,Rio de Janeiro,As Práticas de Normalização da Violência Operacionalizadas pela Volkswagen do Brasil na Ditadura Militar Brasileira (1964-1985),MARCELO ALMEIDA DE CARVALHO SILVA,2018-03-12,CCS,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6335367
614,6374934,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,HISTÓRIA SOCIAL  DA CULTURA,Rio de Janeiro,"Bailes soul, ditadura e violência nos subúrbios cariocas na década de 1970",LUCAS PEDRETTI LIMA,2018-03-08,DBD,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6374934
615,2010322001018063P4,UNIVERSIDADE FEDERAL DO CEARÁ,COMUNICAÇÃO,FORTALEZA,Guerrilha de Pincéis: humor gráfico no jornal O Pasquim como resistência política e cultural à ditadura militar (1969 - 1970),Átila Bezerra Fernandes Vieira,2010-08-01,Biblioteca de Ciências Humanas,Mestrado,
616,2705548,UNIVERSIDADE DE SÃO PAULO,LETRAS (TEORIA LITERÁRIA E LITERATURA COMPARADA),São Paulo,O truque e a técnica: representações do trabalho em Lavoura arcaica (filme e romance) e S. Bernardo,AGNELO BENTO LINO FILHO,2015-08-31,Florestan Fernandes,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2705548
617,3999910,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,DIREITO,Rio de Janeiro,RACISMO INSTITUCIONAL E DITADURA MILITAR: girando em sentido antihorário na árvore do esquecimento,CAROLINE LYRIO SILVA,2016-04-08,Biblioteca Central da PUC-Rio,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3999910
618,3592278,UNIVERSIDADE ESTADUAL DE CAMPINAS,HISTÓRIA,Campinas,Mulheres e Memórias: Uma Análise da Historiografia sobre a Ditadura Militar Brasileira,PRISCILA PAULA DE SOUSA RIOS,2016-02-01,Biblioteca Digital Unicamp,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3592278
619,3986848,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,Ensino de História,Rio de Janeiro,Memória da Resistência à Ditadura Militar Brasileira: guia para utilização de filmes em sala de aula ,DEBORAH SILVA DE QUEIROZ,2016-08-30,undefined,Mestrado Profissional,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3986848
620,4605857,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,"HISTÓRIA DA ÁFRICA, DA DIÁSPORA E DOS POVOS INDÍGENAS",Cachoeira,ATIVISMO NEGRO EM SALVADOR NO PERÍODO DA DITADURA MILITAR (1970-1980),ANDERSEN KUBNHAVN FIGUEIREDO,2016-06-17,undefined,Mestrado Profissional,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4605857
621,6312690,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,CIÊNCIAS SOCIAIS,Vitória,A Ditadura Militar Brasileira: Diálogos Entre a Sociologia e a Arte Socialmente Engajada,EVELYN CAMILA DA SILVA PINHEIRO,2018-03-23,undefined,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6312690
622,6884903,UNIVERSIDADE FEDERAL DE SÃO PAULO,História,Guarulhos,Debates políticos e reestruturações: a 7ª Conferência Nacional de Saúde no entardecer da ditadura militar (1980),PRISCILA VITALINO SEVERO PAIS,2018-02-26,campus guarulhos,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6884903
623,20102531001017119P5,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HISTÓRIA COMPARADA,RIO DE JANEIRO,As duas faces da repressão: semelhanças e diferenças da Política Política durante o Estado Novo (1937-1945) e durante a Ditadura Militar (1964-1983),THIAGO DA SILVA PACHECO,2010-12-01,Marina São Paulo de Vasconcellos,Mestrado,
624,3090028,UNIVERSIDADE FEDERAL DE PERNAMBUCO,HISTÓRIA,Recife,"O medo em cena: a ameaça comunista na ditadura militar (Caruaru, PE - 1960-1968)",ERINALDO VICENTE CAVALCANTI,2015-03-24,Biblioteca Central da UFPE,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3090028
625,2422749,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,ESTUDOS DA LINGUAGEM,Natal,O CHEIRO DO CARNAVAL: SANGUE DE COCA-COLA E A DITADURA MILITAR BRASILEIRA,ANA CAROLINA MOURA MENDONCA,2015-06-16,undefined,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2422749
